step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
25400,17696,7686,3,0,101,1,641,4,2382,9,5768,0,20,496,2293,0,0,41677,0,0,0,0,2,3,0,0,3,1,0,3,0,0,-1,0,0
25600,17767,7757,3,0,102,0,626,4,2373,5,5813,0,20,496,2307,0,0,41677,0,1,0,0,2,3,1,0,3,1,0,3,3,0,-1,0,0
25800,17825,7815,3,0,101,0,624,2,2304,8,5798,0,20,476,2320,0,0,41677,0,2,0,0,2,3,5,0,3,2,0,3,4,0,-1,0,0
26000,17882,7872,3,0,101,0,622,2,2353,10,5789,0,20,483,2359,0,0,41677,0,0,0,1,2,3,5,0,3,2,0,3,4,0,-1,0,0
26200,17951,7941,3,1,101,0,626,4,2366,9,5799,0,20,469,2353,0,0,41677,0,0,0,0,2,3,2,0,3,4,0,3,0,0,-1,0,0
26400,18012,8002,3,0,103,0,615,4,2366,11,5760,0,20,465,2331,0,0,41677,0,0,0,0,2,3,5,0,3,2,0,3,2,0,-1,0,0
26600,18070,8060,3,0,102,2,633,2,2317,5,5758,0,20,449,2372,0,0,41677,0,0,0,0,2,3,1,0,3,1,0,3,3,0,-1,0,0
26800,18133,8123,3,0,102,0,644,1,2324,7,5780,0,20,443,2391,0,0,41677,0,0,0,1,2,3,4,0,3,2,0,3,4,0,-1,0,0
27000,18183,8173,3,0,101,0,649,1,2365,9,5811,0,20,464,2325,0,0,41677,0,0,0,0,2,3,1,0,3,3,0,3,5,0,-1,0,0
27200,18245,8235,3,0,103,1,614,2,2335,4,5793,0,20,454,2299,0,0,41677,0,0,0,1,2,3,1,0,3,4,0,3,2,0,3,3,0
27400,18305,8295,3,0,104,1,617,3,2301,8,5789,0,20,484,2355,0,0,41677,0,0,0,0,2,3,0,0,3,2,0,3,1,0,3,4,0
27600,18363,8353,3,0,101,0,642,4,2313,7,5800,0,20,450,2322,0,0,41677,0,0,1,0,2,3,3,0,3,2,0,3,2,1,3,4,0
27800,18421,8411,3,0,102,1,637,0,2311,5,5800,0,20,499,2399,0,0,41677,0,0,0,1,2,3,3,0,3,2,0,3,5,1,3,0,0
28000,18480,8470,3,0,103,1,632,2,2395,7,5828,0,20,513,2341,0,0,41677,0,0,0,0,2,3,6,0,3,1,0,3,3,1,3,1,0
28200,18547,8537,3,0,101,2,640,2,2325,11,5792,0,20,458,2310,0,0,41677,0,1,0,1,2,3,3,0,3,3,0,3,4,1,3,4,0
28400,18601,8591,3,0,100,0,611,2,2342,10,5761,0,20,490,2366,0,0,41677,0,0,0,0,2,3,4,0,3,2,0,3,2,1,3,3,0
28600,18662,8652,3,0,104,1,640,2,2329,6,5784,0,20,457,2369,0,0,41677,0,0,0,0,2,3,4,0,3,4,0,3,2,1,3,2,0
28800,18728,8718,3,0,101,1,645,0,2340,8,5798,0,20,507,2349,0,0,41677,0,1,0,1,2,3,2,0,3,1,0,3,2,0,3,1,0
29000,18792,8782,3,0,101,2,644,0,2369,7,5801,0,20,488,2352,0,0,41677,0,2,0,1,2,3,6,0,3,1,0,3,1,0,3,3,1
29200,18848,8838,3,0,101,0,643,3,2323,8,5801,0,20,441,2323,0,0,41677,0,0,0,1,2,3,1,0,3,1,0,3,4,0,3,5,1
29400,18916,8906,3,0,100,2,648,1,2367,9,5767,0,20,506,2330,0,0,41677,0,0,0,1,2,3,4,0,3,0,0,3,3,0,3,2,1
29600,18990,8980,3,0,101,1,636,3,2330,6,5791,0,20,489,2369,0,0,41677,0,0,0,0,2,3,3,0,3,1,0,3,4,0,3,3,1
29800,19040,9030,3,0,101,1,620,4,2325,9,5797,0,20,476,2310,0,0,41677,0,1,0,1,2,3,5,0,3,0,0,3,3,0,3,3,1
30000,19113,9103,3,0,99,0,647,0,2352,10,5793,0,20,447,2312,0,0,41677,0,2,0,0,2,3,4,0,3,2,0,3,5,0,3,1,1
30200,19178,9168,3,0,102,1,642,1,2293,8,5776,0,20,450,2360,0,0,41677,0,0,0,0,2,3,2,0,3,1,0,3,7,0,3,3,1
30400,19245,9235,3,1,104,0,620,3,2322,7,5798,0,20,524,2330,0,0,41677,0,1,0,2,2,3,2,0,3,2,0,3,3,0,3,3,1
30600,19299,9289,3,0,101,0,628,0,2384,4,5774,0,20,451,2352,0,0,41677,0,0,0,3,2,3,2,0,3,2,0,3,7,0,3,5,1
30800,19369,9359,3,0,100,2,624,4,2312,11,5813,0,20,426,2349,0,0,41677,0,1,0,0,2,3,6,0,3,3,0,3,4,0,3,3,1
31000,19429,9419,3,0,99,0,643,2,2362,7,5807,0,20,483,2303,0,0,41677,0,0,0,4,2,3,2,0,3,3,0,3,2,0,3,2,1
31200,19479,9469,3,0,100,0,634,1,2342,9,5792,0,20,424,2318,0,0,41677,0,1,0,1,2,3,0,0,3,1,0,3,3,0,3,3,1
31400,19535,9525,3,0,103,0,611,2,2314,5,5771,0,20,450,2374,0,0,41677,0,0,0,1,2,3,3,0,3,0,0,3,3,0,3,3,1
31600,19594,9584,3,0,100,0,637,2,2334,1,5794,0,20,460,2301,0,0,41677,0,0,0,0,2,3,6,0,3,0,0,3,2,0,3,3,1
31800,19661,9651,3,0,103,0,640,5,2357,6,5782,0,20,487,2350,0,0,41677,0,0,0,0,2,3,2,0,3,0,0,3,3,0,3,2,1
